parallele_mitarbeiter,gesamt_dauer_ms,ok_anzahl,fehler_anzahl,status
100,412,100,0,OK
200,754,200,0,OK
300,965,300,0,OK
400,1320,400,0,OK
500,1531,500,0,OK
600,1896,600,0,OK
700,2127,700,0,OK
800,2435,800,0,OK
900,2728,900,0,OK
1000,3038,1000,0,OK
1,141,1,0,OK
100,400,100,0,OK
500,1557,500,0,OK
1000,3224,1000,0,OK
1500,4574,1500,0,OK
2000,5983,2000,0,OK
2500,7470,2500,0,OK
3000,8973,3000,0,OK
3500,10476,3500,0,OK
4000,11974,4000,0,OK
4500,13725,4500,0,OK
5000,14912,5000,0,OK
5500,16689,5500,0,OK
6000,18073,6000,0,OK
6500,19568,6500,0,OK
7000,21163,7000,0,OK
7500,22659,7500,0,OK
8000,24073,7997,3,FEHLER
8500,25714,7997,503,FEHLER
9000,27279,7997,1003,FEHLER
9500,28762,7997,1503,FEHLER
10000,32011,7997,2003,FEHLER
